Date,Time,Item,Quantity,Unit Price,Total Price,Payment Method,Staff
2025-05-17,19:19,Choco Lava Cake,1,3.49,3.49,Cash,Taylor
2025-05-05,17:20,Cheese Burst,2,7.99,15.98,Online Payment,Taylor
2025-05-29,13:09,Stuffed Crust,4,9.99,39.96,Online Payment,Jess
2025-05-18,19:22,BBQ Chicken,3,9.49,28.47,Cash,Sam
2025-05-22,16:13,Pepperoni,5,8.99,44.95,Card,Sam
2025-05-11,17:12,Hawaiian,3,8.99,26.97,Cash,Jess
2025-05-31,22:29,Tandoori Paneer,2,9.25,18.5,Card,Alex
2025-05-19,12:46,Tandoori Paneer,4,9.25,37.0,Card,Taylor
2025-05-11,17:47,Garlic Bread,3,4.99,14.97,Online Payment,Jess
2025-05-20,13:38,Garlic Bread,5,4.99,24.95,Card,Alex
2025-05-10,22:23,Margherita,2,6.99,13.98,Cash,Sam
2025-05-12,18:25,Hawaiian,4,8.99,35.96,Cash,Chris
2025-05-01,17:38,Garlic Bread,3,4.99,14.97,Cash,Chris
2025-05-08,11:06,Choco Lava Cake,1,3.49,3.49,Online Payment,Sam
2025-05-10,19:29,BBQ Chicken,1,9.49,9.49,Online Payment,Taylor
2025-05-31,15:33,Tandoori Paneer,3,9.25,27.75,Cash,Alex
2025-05-14,16:56,Pepperoni,2,8.99,17.98,Online Payment,Chris
2025-05-20,16:36,Stuffed Crust,5,9.99,49.95,Cash,Taylor
2025-05-15,15:15,BBQ Chicken,5,9.49,47.45,Online Payment,Jess
2025-05-11,14:24,Pepperoni,1,8.99,8.99,Cash,Alex
2025-05-16,15:49,Choco Lava Cake,3,3.49,10.47,Card,Jess
2025-05-15,19:01,Tandoori Paneer,2,9.25,18.5,Card,Jess
2025-05-27,17:58,Stuffed Crust,1,9.99,9.99,Online Payment,Alex
2025-05-12,17:02,Soft Drink,2,1.99,3.98,Card,Chris
2025-05-30,11:23,Hawaiian,1,8.99,8.99,Cash,Alex
2025-05-07,10:47,Soft Drink,4,1.99,7.96,Cash,Jess
2025-05-22,10:11,Cheese Burst,5,7.99,39.95,Online Payment,Sam
2025-05-19,12:45,Garlic Bread,1,4.99,4.99,Cash,Taylor
2025-05-26,10:34,Pepperoni,5,8.99,44.95,Online Payment,Taylor
2025-05-16,10:38,BBQ Chicken,1,9.49,9.49,Online Payment,Alex
2025-05-17,11:45,BBQ Chicken,3,9.49,28.47,Card,Chris
2025-05-05,15:09,Veggie Supreme,2,8.49,16.98,Online Payment,Jess
2025-05-11,11:25,Veggie Supreme,1,8.49,8.49,Card,Chris
2025-05-21,14:21,Margherita,1,6.99,6.99,Cash,Chris
2025-05-02,13:47,Tandoori Paneer,5,9.25,46.25,Cash,Taylor
2025-05-17,22:57,BBQ Chicken,1,9.49,9.49,Online Payment,Jess
2025-05-31,19:58,Garlic Bread,5,4.99,24.95,Card,Chris
2025-05-25,11:51,Chicken Wings,5,5.99,29.95,Cash,Sam
2025-05-26,20:42,Stuffed Crust,4,9.99,39.96,Online Payment,Jess
2025-05-24,16:49,Margherita,2,6.99,13.98,Cash,Jess
2025-05-27,11:28,Chicken Wings,2,5.99,11.98,Online Payment,Chris
2025-05-13,11:48,Stuffed Crust,2,9.99,19.98,Card,Taylor
2025-05-22,14:01,Stuffed Crust,5,9.99,49.95,Online Payment,Chris
2025-05-31,19:13,Soft Drink,1,1.99,1.99,Cash,Taylor
2025-05-21,13:12,Cheese Burst,3,7.99,23.97,Online Payment,Chris
2025-05-07,10:53,Hawaiian,3,8.99,26.97,Online Payment,Alex
2025-05-02,21:07,Chicken Wings,1,5.99,5.99,Card,Jess
2025-05-13,14:11,Cheese Burst,4,7.99,31.96,Online Payment,Taylor
2025-05-05,12:03,Cheese Burst,2,7.99,15.98,Cash,Sam
2025-05-19,14:25,Choco Lava Cake,3,3.49,10.47,Card,Jess
2025-05-18,21:19,BBQ Chicken,5,9.49,47.45,Card,Chris
2025-05-12,12:54,Veggie Supreme,2,8.49,16.98,Online Payment,Taylor
2025-05-04,12:37,Hawaiian,5,8.99,44.95,Cash,Jess
2025-05-16,10:34,Pepperoni,2,8.99,17.98,Online Payment,Taylor
2025-05-28,22:43,Hawaiian,5,8.99,44.95,Online Payment,Taylor
2025-05-18,14:15,Stuffed Crust,2,9.99,19.98,Card,Sam
2025-05-19,14:20,Pepperoni,2,8.99,17.98,Card,Alex
2025-05-04,11:59,Pepperoni,2,8.99,17.98,Online Payment,Jess
2025-05-23,12:09,Pepperoni,5,8.99,44.95,Online Payment,Chris
2025-05-10,11:51,Cheese Burst,3,7.99,23.97,Card,Sam
2025-05-09,10:51,Pepperoni,4,8.99,35.96,Card,Chris
2025-05-20,13:44,Garlic Bread,2,4.99,9.98,Online Payment,Chris
2025-05-11,21:41,Pepperoni,5,8.99,44.95,Cash,Alex
2025-05-08,12:40,Cheese Burst,5,7.99,39.95,Card,Sam
2025-05-15,18:31,Pepperoni,2,8.99,17.98,Card,Taylor
2025-05-07,11:06,Pepperoni,4,8.99,35.96,Online Payment,Jess
2025-05-01,18:57,Chicken Wings,2,5.99,11.98,Card,Chris
2025-05-16,22:54,Pepperoni,5,8.99,44.95,Online Payment,Chris
2025-05-27,14:14,Stuffed Crust,5,9.99,49.95,Cash,Sam
2025-05-31,20:25,Margherita,1,6.99,6.99,Card,Sam
2025-05-16,15:26,Soft Drink,1,1.99,1.99,Card,Alex
2025-05-12,13:20,Garlic Bread,2,4.99,9.98,Cash,Chris
2025-05-08,12:54,Pepperoni,1,8.99,8.99,Online Payment,Sam
2025-05-20,11:55,Pepperoni,2,8.99,17.98,Card,Taylor
2025-05-09,16:25,Hawaiian,3,8.99,26.97,Card,Jess
2025-05-01,13:50,Margherita,2,6.99,13.98,Online Payment,Taylor
2025-05-30,13:39,Stuffed Crust,4,9.99,39.96,Cash,Alex
2025-05-19,18:01,Soft Drink,4,1.99,7.96,Card,Alex
2025-05-30,16:40,Hawaiian,3,8.99,26.97,Cash,Alex
2025-05-27,20:20,BBQ Chicken,1,9.49,9.49,Online Payment,Sam
2025-05-05,11:35,Choco Lava Cake,3,3.49,10.47,Card,Taylor
2025-05-19,15:42,Margherita,4,6.99,27.96,Card,Chris
2025-05-04,12:43,Choco Lava Cake,3,3.49,10.47,Card,Alex
2025-05-19,14:42,Stuffed Crust,5,9.99,49.95,Cash,Chris
2025-05-01,11:14,Margherita,5,6.99,34.95,Online Payment,Taylor
2025-05-12,13:49,Chicken Wings,2,5.99,11.98,Card,Taylor
2025-05-02,13:12,Garlic Bread,1,4.99,4.99,Online Payment,Taylor
2025-05-25,19:56,Veggie Supreme,2,8.49,16.98,Cash,Jess
2025-05-30,13:19,Pepperoni,5,8.99,44.95,Card,Sam
2025-05-30,20:36,Garlic Bread,2,4.99,9.98,Card,Jess
2025-05-06,19:54,Cheese Burst,3,7.99,23.97,Online Payment,Sam
2025-05-30,15:24,Garlic Bread,3,4.99,14.97,Online Payment,Jess
2025-05-01,19:12,Hawaiian,1,8.99,8.99,Cash,Taylor
2025-05-06,11:15,Cheese Burst,3,7.99,23.97,Online Payment,Alex
2025-05-07,22:51,Chicken Wings,4,5.99,23.96,Online Payment,Taylor
2025-05-25,22:37,Choco Lava Cake,4,3.49,13.96,Online Payment,Sam
2025-05-18,11:43,Choco Lava Cake,1,3.49,3.49,Cash,Sam
2025-05-19,21:29,Veggie Supreme,5,8.49,42.45,Card,Chris
2025-05-03,12:31,Tandoori Paneer,5,9.25,46.25,Online Payment,Jess
2025-05-23,13:36,Cheese Burst,4,7.99,31.96,Cash,Alex
2025-05-02,10:06,Cheese Burst,2,7.99,15.98,Card,Taylor
2025-05-03,16:34,Choco Lava Cake,1,3.49,3.49,Card,Jess
2025-05-22,16:43,Pepperoni,3,8.99,26.97,Cash,Sam
2025-05-06,14:15,Hawaiian,1,8.99,8.99,Cash,Taylor
2025-05-07,22:10,Soft Drink,3,1.99,5.97,Cash,Chris
2025-05-25,17:21,Soft Drink,1,1.99,1.99,Cash,Taylor
2025-05-25,12:32,Garlic Bread,3,4.99,14.97,Card,Taylor
2025-05-27,11:32,Choco Lava Cake,5,3.49,17.45,Online Payment,Sam
2025-05-23,13:13,Margherita,4,6.99,27.96,Online Payment,Jess
2025-05-02,22:07,Chicken Wings,1,5.99,5.99,Card,Chris
2025-05-05,12:26,Cheese Burst,2,7.99,15.98,Card,Sam
2025-05-19,20:51,Stuffed Crust,2,9.99,19.98,Cash,Sam
2025-05-29,14:30,BBQ Chicken,4,9.49,37.96,Cash,Jess
2025-05-17,22:24,Garlic Bread,5,4.99,24.95,Online Payment,Chris
2025-05-29,14:42,Chicken Wings,4,5.99,23.96,Card,Taylor
2025-05-29,16:40,Tandoori Paneer,5,9.25,46.25,Online Payment,Sam
2025-05-02,18:09,Veggie Supreme,3,8.49,25.47,Online Payment,Sam
2025-05-01,19:34,Stuffed Crust,1,9.99,9.99,Online Payment,Jess
2025-05-12,12:08,Garlic Bread,4,4.99,19.96,Card,Alex
2025-05-31,16:14,Garlic Bread,4,4.99,19.96,Cash,Chris
2025-05-18,20:07,Tandoori Paneer,4,9.25,37.0,Online Payment,Alex
2025-05-08,15:30,Tandoori Paneer,4,9.25,37.0,Cash,Alex
2025-05-17,18:16,Soft Drink,3,1.99,5.97,Cash,Jess
2025-05-22,22:28,Cheese Burst,2,7.99,15.98,Cash,Taylor
2025-05-12,19:33,Chicken Wings,4,5.99,23.96,Cash,Jess
2025-05-03,17:19,Chicken Wings,1,5.99,5.99,Card,Jess
2025-05-28,22:45,Margherita,3,6.99,20.97,Card,Taylor
2025-05-16,10:00,Choco Lava Cake,1,3.49,3.49,Cash,Alex
2025-05-05,16:44,Garlic Bread,5,4.99,24.95,Online Payment,Taylor
2025-05-06,19:04,Choco Lava Cake,4,3.49,13.96,Online Payment,Alex
2025-05-07,13:50,Cheese Burst,5,7.99,39.95,Card,Sam
2025-05-18,18:21,Cheese Burst,2,7.99,15.98,Cash,Chris
2025-05-09,22:13,Stuffed Crust,2,9.99,19.98,Online Payment,Alex
2025-05-10,12:07,Margherita,4,6.99,27.96,Card,Taylor
2025-05-14,20:56,Hawaiian,3,8.99,26.97,Online Payment,Sam
2025-05-28,19:08,Pepperoni,2,8.99,17.98,Card,Taylor
2025-05-01,20:21,BBQ Chicken,5,9.49,47.45,Cash,Alex
2025-05-29,10:04,Garlic Bread,5,4.99,24.95,Cash,Jess
2025-05-13,11:30,BBQ Chicken,3,9.49,28.47,Online Payment,Alex
2025-05-18,16:08,Veggie Supreme,5,8.49,42.45,Cash,Taylor
2025-05-22,10:18,Cheese Burst,1,7.99,7.99,Card,Sam
2025-05-05,16:04,Soft Drink,1,1.99,1.99,Card,Chris
2025-05-28,15:14,Veggie Supreme,3,8.49,25.47,Card,Sam
2025-05-11,18:56,Soft Drink,3,1.99,5.97,Card,Jess
2025-05-13,18:35,BBQ Chicken,2,9.49,18.98,Card,Chris
2025-05-20,16:18,Stuffed Crust,2,9.99,19.98,Cash,Alex
2025-05-06,12:09,BBQ Chicken,3,9.49,28.47,Card,Sam
2025-05-27,17:30,Choco Lava Cake,5,3.49,17.45,Online Payment,Alex
2025-05-26,21:48,Chicken Wings,3,5.99,17.97,Cash,Jess
2025-05-29,10:46,BBQ Chicken,5,9.49,47.45,Online Payment,Jess
2025-05-16,17:05,BBQ Chicken,2,9.49,18.98,Card,Jess
2025-05-18,22:44,Pepperoni,1,8.99,8.99,Card,Alex
2025-05-03,22:02,Choco Lava Cake,5,3.49,17.45,Card,Alex
2025-05-07,14:42,Cheese Burst,2,7.99,15.98,Cash,Chris
2025-05-20,17:03,Stuffed Crust,5,9.99,49.95,Online Payment,Jess
2025-05-09,19:33,Pepperoni,1,8.99,8.99,Cash,Taylor
2025-05-03,17:19,BBQ Chicken,1,9.49,9.49,Card,Taylor
2025-05-23,11:19,Hawaiian,1,8.99,8.99,Cash,Taylor
2025-05-22,18:26,Pepperoni,2,8.99,17.98,Card,Sam
2025-05-11,17:26,Veggie Supreme,5,8.49,42.45,Cash,Jess
2025-05-21,13:57,Veggie Supreme,2,8.49,16.98,Cash,Chris
2025-05-31,22:13,Cheese Burst,1,7.99,7.99,Online Payment,Alex
2025-05-09,17:56,Margherita,3,6.99,20.97,Online Payment,Alex
2025-05-08,14:54,Stuffed Crust,1,9.99,9.99,Online Payment,Chris
2025-05-28,10:01,Tandoori Paneer,5,9.25,46.25,Card,Alex
2025-05-09,19:39,Stuffed Crust,1,9.99,9.99,Card,Taylor
2025-05-08,16:54,Margherita,4,6.99,27.96,Cash,Taylor
2025-05-25,15:58,Veggie Supreme,1,8.49,8.49,Cash,Chris
2025-05-19,13:25,Stuffed Crust,4,9.99,39.96,Card,Sam
2025-05-16,11:49,Chicken Wings,5,5.99,29.95,Cash,Taylor
2025-05-06,15:17,Soft Drink,5,1.99,9.95,Card,Jess
2025-05-30,10:57,Hawaiian,4,8.99,35.96,Online Payment,Jess
2025-05-13,20:45,Stuffed Crust,4,9.99,39.96,Online Payment,Taylor
2025-05-28,19:34,Choco Lava Cake,4,3.49,13.96,Card,Chris
2025-05-30,17:42,Soft Drink,5,1.99,9.95,Cash,Chris
2025-05-15,15:20,Stuffed Crust,2,9.99,19.98,Online Payment,Alex
2025-05-16,20:13,Pepperoni,2,8.99,17.98,Cash,Taylor
2025-05-20,12:47,Tandoori Paneer,4,9.25,37.0,Online Payment,Jess
2025-05-13,18:37,Hawaiian,2,8.99,17.98,Cash,Chris
2025-05-04,15:31,Soft Drink,2,1.99,3.98,Online Payment,Chris
2025-05-28,21:02,Chicken Wings,4,5.99,23.96,Online Payment,Jess
2025-05-14,19:14,Pepperoni,3,8.99,26.97,Online Payment,Sam
2025-05-15,18:00,Veggie Supreme,4,8.49,33.96,Cash,Sam
2025-05-16,16:29,Chicken Wings,2,5.99,11.98,Card,Chris
2025-05-20,20:26,Hawaiian,3,8.99,26.97,Online Payment,Chris
2025-05-17,14:34,Tandoori Paneer,3,9.25,27.75,Cash,Chris
2025-05-28,20:27,Pepperoni,4,8.99,35.96,Card,Jess
2025-05-23,17:39,Margherita,4,6.99,27.96,Online Payment,Taylor
2025-05-10,20:30,Margherita,2,6.99,13.98,Online Payment,Chris
2025-05-19,15:21,Chicken Wings,2,5.99,11.98,Cash,Sam
2025-05-04,17:26,Margherita,4,6.99,27.96,Card,Jess
2025-05-18,22:08,Stuffed Crust,1,9.99,9.99,Cash,Chris
2025-05-29,21:36,Tandoori Paneer,3,9.25,27.75,Online Payment,Alex
2025-05-07,12:03,Cheese Burst,1,7.99,7.99,Cash,Chris
2025-05-11,17:20,Margherita,2,6.99,13.98,Card,Taylor
2025-05-11,20:37,Pepperoni,1,8.99,8.99,Cash,Alex
2025-05-26,21:31,Margherita,3,6.99,20.97,Online Payment,Jess
2025-05-17,20:17,Garlic Bread,1,4.99,4.99,Cash,Alex
2025-05-08,16:21,Garlic Bread,3,4.99,14.97,Cash,Sam
2025-05-01,15:41,Hawaiian,2,8.99,17.98,Card,Chris
2025-05-26,17:22,Hawaiian,4,8.99,35.96,Cash,Chris
2025-05-18,14:42,BBQ Chicken,2,9.49,18.98,Cash,Alex
2025-05-28,22:22,Tandoori Paneer,4,9.25,37.0,Online Payment,Chris
2025-05-10,15:46,Margherita,1,6.99,6.99,Cash,Jess
2025-05-11,15:38,Pepperoni,1,8.99,8.99,Card,Alex
2025-05-20,15:43,Pepperoni,3,8.99,26.97,Card,Jess
2025-05-28,14:10,Garlic Bread,1,4.99,4.99,Card,Taylor
2025-05-20,20:56,BBQ Chicken,2,9.49,18.98,Card,Sam
2025-05-08,15:32,Chicken Wings,4,5.99,23.96,Online Payment,Sam
2025-05-20,20:01,Hawaiian,5,8.99,44.95,Cash,Jess
2025-05-14,19:44,Garlic Bread,1,4.99,4.99,Card,Sam
2025-05-13,10:58,Hawaiian,4,8.99,35.96,Online Payment,Chris
2025-05-30,15:27,Choco Lava Cake,5,3.49,17.45,Cash,Jess
2025-05-23,13:18,Veggie Supreme,3,8.49,25.47,Online Payment,Taylor
2025-05-18,12:59,Garlic Bread,5,4.99,24.95,Card,Jess
2025-05-05,17:39,Soft Drink,3,1.99,5.97,Cash,Jess
2025-05-11,13:35,Veggie Supreme,3,8.49,25.47,Card,Alex
2025-05-10,19:28,Pepperoni,4,8.99,35.96,Online Payment,Taylor
2025-05-09,13:05,Tandoori Paneer,2,9.25,18.5,Cash,Jess
2025-05-06,19:53,Cheese Burst,3,7.99,23.97,Online Payment,Taylor
2025-05-05,13:24,Garlic Bread,2,4.99,9.98,Cash,Taylor
2025-05-01,15:29,Chicken Wings,3,5.99,17.97,Card,Alex
2025-05-24,12:40,Soft Drink,1,1.99,1.99,Cash,Sam
2025-05-09,10:11,Garlic Bread,3,4.99,14.97,Cash,Sam
2025-05-30,14:10,Stuffed Crust,4,9.99,39.96,Cash,Sam
2025-05-25,16:31,Hawaiian,3,8.99,26.97,Online Payment,Sam
2025-05-19,17:16,Stuffed Crust,2,9.99,19.98,Card,Sam
2025-05-08,15:20,Pepperoni,5,8.99,44.95,Card,Alex
2025-05-31,15:35,Soft Drink,2,1.99,3.98,Online Payment,Chris
2025-05-30,20:15,Chicken Wings,4,5.99,23.96,Cash,Jess
2025-05-08,13:56,Hawaiian,3,8.99,26.97,Online Payment,Jess
2025-05-14,11:33,Pepperoni,2,8.99,17.98,Online Payment,Chris
2025-05-31,17:07,Stuffed Crust,3,9.99,29.97,Online Payment,Sam
2025-05-24,18:21,Veggie Supreme,2,8.49,16.98,Online Payment,Sam
2025-05-08,20:09,Veggie Supreme,5,8.49,42.45,Cash,Sam
2025-05-25,15:58,Veggie Supreme,1,8.49,8.49,Cash,Jess
2025-05-05,20:35,Chicken Wings,5,5.99,29.95,Card,Taylor
2025-05-26,10:08,Chicken Wings,5,5.99,29.95,Card,Taylor
2025-05-28,18:41,Chicken Wings,2,5.99,11.98,Card,Chris
2025-05-11,19:03,Soft Drink,3,1.99,5.97,Cash,Chris
2025-05-29,16:47,Chicken Wings,3,5.99,17.97,Cash,Alex
2025-05-18,10:39,Garlic Bread,4,4.99,19.96,Cash,Alex
2025-05-13,21:28,Chicken Wings,1,5.99,5.99,Card,Chris
2025-05-10,19:49,Choco Lava Cake,2,3.49,6.98,Cash,Jess
2025-05-15,22:02,Chicken Wings,3,5.99,17.97,Card,Taylor
2025-05-09,20:23,Garlic Bread,3,4.99,14.97,Card,Jess
2025-05-31,19:43,Stuffed Crust,5,9.99,49.95,Card,Sam
2025-05-29,17:55,Tandoori Paneer,5,9.25,46.25,Card,Sam
2025-05-09,12:18,Choco Lava Cake,1,3.49,3.49,Card,Taylor
2025-05-01,21:32,Margherita,3,6.99,20.97,Cash,Jess
2025-05-29,11:18,Choco Lava Cake,3,3.49,10.47,Online Payment,Chris
2025-05-12,20:51,Garlic Bread,2,4.99,9.98,Card,Jess
2025-05-10,15:37,Cheese Burst,4,7.99,31.96,Cash,Sam
2025-05-09,20:01,Margherita,2,6.99,13.98,Card,Chris
2025-05-11,12:22,Cheese Burst,2,7.99,15.98,Online Payment,Jess
2025-05-02,17:14,Hawaiian,5,8.99,44.95,Cash,Chris
2025-05-27,16:09,Soft Drink,2,1.99,3.98,Online Payment,Sam
2025-05-29,19:36,Hawaiian,3,8.99,26.97,Cash,Chris
2025-05-28,17:28,Veggie Supreme,2,8.49,16.98,Card,Alex
2025-05-09,18:49,Choco Lava Cake,5,3.49,17.45,Cash,Sam
2025-05-01,19:33,BBQ Chicken,1,9.49,9.49,Card,Alex
2025-05-29,20:41,Stuffed Crust,1,9.99,9.99,Card,Taylor
2025-05-09,10:10,Veggie Supreme,4,8.49,33.96,Online Payment,Alex
2025-05-13,18:22,Garlic Bread,3,4.99,14.97,Card,Taylor
2025-05-01,22:15,Chicken Wings,3,5.99,17.97,Online Payment,Jess
2025-05-14,13:02,Stuffed Crust,1,9.99,9.99,Card,Taylor
2025-05-03,17:31,BBQ Chicken,1,9.49,9.49,Cash,Alex
2025-05-28,18:15,BBQ Chicken,1,9.49,9.49,Online Payment,Jess
2025-05-07,10:13,Garlic Bread,4,4.99,19.96,Online Payment,Chris
2025-05-16,18:34,Garlic Bread,3,4.99,14.97,Card,Taylor
2025-05-06,17:56,Chicken Wings,4,5.99,23.96,Card,Alex
2025-05-11,21:41,Hawaiian,3,8.99,26.97,Cash,Taylor
2025-05-06,15:17,Margherita,2,6.99,13.98,Online Payment,Jess
2025-05-30,17:53,BBQ Chicken,5,9.49,47.45,Online Payment,Alex
2025-05-28,20:25,Veggie Supreme,5,8.49,42.45,Online Payment,Sam
2025-05-30,21:11,Garlic Bread,5,4.99,24.95,Card,Sam
2025-05-03,16:28,Pepperoni,3,8.99,26.97,Cash,Alex
2025-05-04,14:10,Veggie Supreme,5,8.49,42.45,Online Payment,Alex
2025-05-25,12:11,Margherita,1,6.99,6.99,Card,Jess
2025-05-28,14:04,Pepperoni,5,8.99,44.95,Cash,Taylor
2025-05-19,20:24,Margherita,3,6.99,20.97,Card,Sam
2025-05-01,22:41,Stuffed Crust,5,9.99,49.95,Online Payment,Jess
2025-05-04,16:59,Hawaiian,4,8.99,35.96,Online Payment,Sam
2025-05-29,22:13,Veggie Supreme,1,8.49,8.49,Online Payment,Sam
2025-05-29,13:21,Choco Lava Cake,3,3.49,10.47,Cash,Jess
2025-05-28,19:19,Hawaiian,3,8.99,26.97,Online Payment,Chris
2025-05-22,18:21,Margherita,1,6.99,6.99,Card,Alex
2025-05-30,20:16,Garlic Bread,3,4.99,14.97,Cash,Alex
2025-05-31,11:09,Tandoori Paneer,4,9.25,37.0,Cash,Chris
2025-05-29,10:24,Pepperoni,1,8.99,8.99,Cash,Taylor
2025-05-30,15:36,Hawaiian,5,8.99,44.95,Card,Jess
2025-05-08,17:34,Stuffed Crust,1,9.99,9.99,Cash,Taylor
2025-05-10,10:39,Veggie Supreme,1,8.49,8.49,Card,Taylor
2025-05-23,18:34,Stuffed Crust,5,9.99,49.95,Card,Chris
2025-05-14,10:35,Choco Lava Cake,4,3.49,13.96,Cash,Chris
2025-05-25,21:28,Chicken Wings,4,5.99,23.96,Card,Jess
2025-05-26,20:36,Garlic Bread,4,4.99,19.96,Online Payment,Sam
2025-05-14,12:50,Choco Lava Cake,1,3.49,3.49,Cash,Sam
2025-05-04,13:40,Pepperoni,4,8.99,35.96,Cash,Sam
